date,overall_sentiment_score,ticker_sentiment_score,ticker,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,price_movement
2022-09-23,0.02539454166666667,0.06263108333333334,AAPL,151.19,151.47,148.56,150.43,148.785588909643,96029909,0.0,1.0,1
2022-09-26,0.0874570625,0.10034695833333333,AAPL,149.66,153.7701,149.64,150.77,149.121872232313,93339409,0.0,1.0,1
2022-09-27,0.1088553103448276,0.11666337931034483,AAPL,152.74,154.72,149.945,151.76,150.101050142441,84442741,0.0,1.0,0
2022-09-28,0.037003415094339624,0.02921309433962264,AAPL,147.64,150.6414,144.84,149.84,148.202038437951,146691387,0.0,1.0,0
2022-09-29,0.053477250000000004,0.009661149999999999,AAPL,146.1,146.72,140.68,142.48,140.922493570737,128138237,0.0,1.0,0
2022-09-30,-0.03832644186046512,-0.007201976744186046,AAPL,141.28,143.1,138.0,138.2,136.689279979477,124925274,0.0,1.0,1
2022-10-03,0.10287478048780488,0.05469326829268293,AAPL,138.21,143.07,137.685,142.45,140.892821512854,114311663,0.0,1.0,1
2022-10-04,0.13595623076923077,0.12421876923076923,AAPL,145.03,146.22,144.26,146.1,144.502921888578,87830064,0.0,1.0,1
2022-10-05,0.12451126829268294,0.11857556097560976,AAPL,144.075,147.38,143.01,146.4,144.799642467405,79470968,0.0,1.0,0
2022-10-06,0.09178486666666667,0.059796633333333335,AAPL,145.81,147.54,145.22,145.43,143.840245929199,68402169,0.0,1.0,0
2022-10-07,0.0759256857142857,0.12156159999999999,AAPL,142.54,143.1,139.445,140.09,138.558619626084,85925559,0.0,1.0,1
2022-10-10,0.05439827777777778,0.037165416666666666,AAPL,140.42,141.89,138.5729,140.42,138.885012262794,74899002,0.0,1.0,0
2022-10-11,0.06201527906976744,0.06009046511627907,AAPL,139.9,141.35,138.22,138.98,137.460753484426,77033672,0.0,1.0,0
2022-10-12,0.15220575,0.1110385,AAPL,139.13,140.36,138.16,138.34,136.827749582929,70433744,0.0,1.0,1
2022-10-13,0.09264529545454546,0.055611295454545455,AAPL,134.99,143.59,134.37,142.99,141.426918554742,113223975,0.0,1.0,0
2022-10-14,0.13401606896551724,0.13948696551724138,AAPL,144.31,144.52,138.19,138.38,136.867312326773,88597969,0.0,1.0,1
2022-10-17,0.10536756862745097,0.09765223529411765,AAPL,141.065,142.9,140.27,142.41,140.85325876901,85250939,0.0,1.0,1
2022-10-18,0.1398811,0.14743856,AAPL,145.49,146.7,140.61,143.75,142.17861068777,99136610,0.0,1.0,1
2022-10-19,0.05101157142857143,0.08362950000000001,AAPL,141.69,144.9492,141.5,143.86,142.287408233339,61758340,0.0,1.0,0
2022-10-20,0.0959231875,0.1206528125,AAPL,143.02,145.89,142.65,143.39,141.822545993178,64521989,0.0,1.0,1
2022-10-21,0.10131120930232558,0.06935193023255815,AAPL,142.87,147.8479,142.649,147.27,145.660132146002,86548609,0.0,1.0,1
